,0
2022-08-01,0.887092055769998
2022-08-02,0.883731235469998
2022-08-03,0.8824151416699979
2022-08-04,0.880259633869998
2022-08-05,0.8868432080699978
2022-08-06,0.8835628565699977
2022-08-07,0.8835851221699977
2022-08-08,0.8835851221699977
2022-08-09,0.8835851221699977
2022-08-10,0.8835851221699977
2022-08-11,0.8835851221699977
2022-08-12,0.8835851221699977
2022-08-13,0.8835851221699977
2022-08-14,0.8835851221699977
2022-08-15,0.8835851221699977
2022-08-16,0.8835851221699977
2022-08-17,0.8835851221699977
2022-08-18,0.8835851221699977
2022-08-19,0.8835851221699977
2022-08-20,0.8835851221699977
2022-08-21,0.8835851221699977
2022-08-22,0.8835851221699977
2022-08-23,0.8835851221699977
2022-08-24,0.8835851221699977
2022-08-25,0.8835851221699977
2022-08-26,0.8835851221699977
2022-08-27,0.8835851221699977
2022-08-28,0.8835851221699977
2022-08-29,0.8835851221699977
2022-08-30,0.8835851221699977
2022-08-31,0.8835851221699977
2022-09-01,0.8835851221699977
2022-09-02,0.8835851221699977
2022-09-03,0.8835851221699977
2022-09-04,0.8835851221699977
2022-09-05,0.8835851221699977
2022-09-06,0.8835851221699977
2022-09-07,0.8835851221699977
2022-09-08,0.8835851221699977
2022-09-09,0.8835851221699977
2022-09-10,0.8835851221699977
2022-09-11,0.8835851221699977
2022-09-12,0.8835851221699977
2022-09-13,0.8835851221699977
2022-09-14,0.8835851221699977
2022-09-15,0.8835851221699977
2022-09-16,0.8842709033699977
2022-09-17,0.8878208252699976
2022-09-18,0.8807401221699976
2022-09-19,0.8819863526699976
2022-09-20,0.8754529541699976
2022-09-21,0.8754578955699976
2022-09-22,0.8754578955699976
2022-09-23,0.8754578955699976
2022-09-24,0.8754578955699976
2022-09-25,0.8754578955699976
2022-09-26,0.8754578955699976
2022-09-27,0.8754578955699976
2022-09-28,0.8754578955699976
2022-09-29,0.8769106103699977
2022-09-30,0.8754979931699977
2022-10-01,0.8743010595699978
2022-10-02,0.8716211767699978
2022-10-03,0.8774159033699978
2022-10-04,0.8845485400699977
2022-10-05,0.8827872705699976
2022-10-06,0.8807345361699978
2022-10-07,0.8766485986699978
2022-10-08,0.8753457861699978
2022-10-09,0.8756443603699979
2022-10-10,0.872594946369998
2022-10-11,0.8716942822699979
2022-10-12,0.8727545556699978
2022-10-13,0.8750091455699978
2022-10-14,0.8730366650699978
2022-10-15,0.8718564502699978
2022-10-16,0.8738610400699978
2022-10-17,0.8766876806699978
2022-10-18,0.874524262769998
2022-10-19,0.8725754541699979
2022-10-20,0.8717175048699979
2022-10-21,0.8729047900699979
2022-10-22,0.873261997069998
2022-10-23,0.8768501806699978
2022-10-24,0.8746358252699978
2022-10-25,0.8821386767699977
2022-10-26,0.8888845166699977
2022-10-27,0.8840384619699977
2022-10-28,0.8871336181699977
2022-10-29,0.8893648681699977
2022-10-30,0.8875361377699978
2022-10-31,0.8861378369699979
2022-11-01,0.8860328369699979
2022-11-02,0.8827751416699979
2022-11-03,0.8832799853699981
2022-11-04,0.8926524072699981
2022-11-05,0.8940070166699982
2022-11-06,0.8904449658699982
2022-11-07,0.8872082666699982
2022-11-08,0.8665928173699982
2022-11-09,0.8399879052699983
2022-11-10,0.8570478173699984
2022-11-11,0.8515230322699984
2022-11-12,0.8491719580699983
2022-11-13,0.8447137548699983
2022-11-14,0.8473620947699984
2022-11-15,0.8500262353699983
2022-11-16,0.8478744970699984
2022-11-17,0.8480552783699984
2022-11-18,0.8481578759699984
2022-11-19,0.8482955713699984
2022-11-20,0.8440984228699984
2022-11-21,0.8390529443699983
2022-11-22,0.8430777978699984
2022-11-23,0.8472871728699983
2022-11-24,0.8472964697699982
2022-11-25,0.8464921924699981
2022-11-26,0.8459165869699982
2022-11-27,0.8457200439699982
2022-11-28,0.8434469971699982
2022-11-29,0.8457235986699981
2022-11-30,0.8529594385699981
2022-12-01,0.8509451025699981
2022-12-02,0.8521603760699981
2022-12-03,0.8503561377699981
2022-12-04,0.8525786377699981
2022-12-05,0.8510220361699982
2022-12-06,0.8521688135699981
2022-12-07,0.8497550439699981
2022-12-08,0.8536085205699981
2022-12-09,0.8526052978699982
2022-12-10,0.8525610205699982
2022-12-11,0.8523157080699982
2022-12-12,0.8533381494699983
2022-12-13,0.8590869580699982
2022-12-14,0.8594302783699981
2022-12-15,0.8549224267699981
2022-12-16,0.8477486182699983
2022-12-17,0.8492246924699981
2022-12-18,0.8488535400699981
2022-12-19,0.8456705713699982
2022-12-20,0.8503368213699982
2022-12-21,0.8494491260699981
2022-12-22,0.8494575830699981
2022-12-23,0.8494575830699981
2022-12-24,0.8494575830699981
2022-12-25,0.8494575830699981
2022-12-26,0.8494575830699981
2022-12-27,0.847436411169998
2022-12-28,0.845790395569998
2022-12-29,0.8466880908699979
2022-12-30,0.846290532269998
2022-12-31,0.845739633769998
2023-01-01,0.846515473669998
2023-01-02,0.847149379869998
2023-01-03,0.8471531494699979
2023-01-04,0.8489834814699979
2023-01-05,0.8487184619699979
2023-01-06,0.849870786169998
2023-01-07,0.849901879969998
2023-01-08,0.851262543969998
2023-01-09,0.852316645569998
2023-01-10,0.854814028369998
2023-01-11,0.859700063469998
2023-01-12,0.869046977569998
2023-01-13,0.879446840869998
2023-01-14,0.890114086969998
2023-01-15,0.889159086969998
2023-01-16,0.8920474267699979
2023-01-17,0.8919662939699979
2023-01-18,0.8872389111699979
2023-01-19,0.8912190283699979
2023-01-20,0.907116625969998
2023-01-21,0.908127348669998
2023-01-22,0.9075552588699981
2023-01-23,0.9096954150699981
2023-01-24,0.9067157861699982
2023-01-25,0.9115296924699982
2023-01-26,0.9106788720699982
2023-01-27,0.9111383838699983
2023-01-28,0.9106619970699983
2023-01-29,0.9180967627699982
2023-01-30,0.9087524853699982
2023-01-31,0.9087590674699981
2023-02-01,0.9087590674699981
2023-02-02,0.9087590674699981
2023-02-03,0.9087590674699981
2023-02-04,0.9087590674699981
2023-02-05,0.9087590674699981
2023-02-06,0.9087590674699981
2023-02-07,0.9087590674699981
2023-02-08,0.9087590674699981
2023-02-09,0.9087590674699981
2023-02-10,0.9087590674699981
2023-02-11,0.9087590674699981
2023-02-12,0.9087590674699981
2023-02-13,0.9087590674699981
2023-02-14,0.9087590674699981
2023-02-15,0.9087590674699981
2023-02-16,0.9087590674699981
2023-02-17,0.9087590674699981
2023-02-18,0.9087590674699981
2023-02-19,0.9087590674699981
2023-02-20,0.9087590674699981
2023-02-21,0.9087590674699981
2023-02-22,0.9087590674699981
2023-02-23,0.9087590674699981
2023-02-24,0.9087590674699981
2023-02-25,0.9087590674699981
2023-02-26,0.9087590674699981
2023-02-27,0.9087590674699981
2023-02-28,0.9087590674699981
2023-03-01,0.9087590674699981
2023-03-02,0.9087590674699981
2023-03-03,0.9087590674699981
2023-03-04,0.9087590674699981
2023-03-05,0.9087590674699981
2023-03-06,0.9087590674699981
2023-03-07,0.9087590674699981
2023-03-08,0.9087590674699981
2023-03-09,0.9087590674699981
2023-03-10,0.9087590674699981
2023-03-11,0.9087590674699981
2023-03-12,0.9087590674699981
2023-03-13,0.9087590674699981
2023-03-14,0.9087590674699981
2023-03-15,0.9087590674699981
2023-03-16,0.9087590674699981
2023-03-17,0.9087590674699981
2023-03-18,0.9087590674699981
2023-03-19,0.9087590674699981
2023-03-20,0.9087590674699981
2023-03-21,0.9087590674699981
2023-03-22,0.9087590674699981
2023-03-23,0.9087590674699981
2023-03-24,0.9087590674699981
2023-03-25,0.9087590674699981
2023-03-26,0.9087590674699981
2023-03-27,0.9087590674699981
2023-03-28,0.9087590674699981
2023-03-29,0.9087590674699981
2023-03-30,0.9087590674699981
2023-03-31,0.9087590674699981
2023-04-01,0.9087590674699981
2023-04-02,0.9087590674699981
2023-04-03,0.9087590674699981
2023-04-04,0.9087590674699981
2023-04-05,0.9087590674699981
2023-04-06,0.9087590674699981
2023-04-07,0.9087590674699981
2023-04-08,0.9087590674699981
2023-04-09,0.9087590674699981
2023-04-10,0.9087590674699981
2023-04-11,0.9087590674699981
2023-04-12,0.9087590674699981
2023-04-13,0.9087590674699981
2023-04-14,0.9087590674699981
2023-04-15,0.9087590674699981
2023-04-16,0.9087590674699981
2023-04-17,0.9087590674699981
2023-04-18,0.9087590674699981
2023-04-19,0.9087590674699981
2023-04-20,0.9087590674699981
2023-04-21,0.9087590674699981
2023-04-22,0.9087590674699981
2023-04-23,0.9087590674699981
2023-04-24,0.9087590674699981
2023-04-25,0.9087590674699981
2023-04-26,0.9087590674699981
2023-04-27,0.9087590674699981
2023-04-28,0.9087590674699981
2023-04-29,0.9087590674699981
2023-04-30,0.9087590674699981
2023-05-01,0.9087590674699981
2023-05-02,0.9087590674699981
2023-05-03,0.9087590674699981
2023-05-04,0.9087590674699981
2023-05-05,0.9087590674699981
2023-05-06,0.9087590674699981
2023-05-07,0.9087590674699981
2023-05-08,0.9087590674699981
2023-05-09,0.9087590674699981
2023-05-10,0.9087590674699981
2023-05-11,0.9087590674699981
2023-05-12,0.9087590674699981
2023-05-13,0.9087590674699981
2023-05-14,0.9087590674699981
2023-05-15,0.9087590674699981
2023-05-16,0.9087590674699981
2023-05-17,0.9087590674699981
2023-05-18,0.9087590674699981
2023-05-19,0.9087590674699981
2023-05-20,0.9087590674699981
2023-05-21,0.9087590674699981
2023-05-22,0.9087590674699981
2023-05-23,0.9087590674699981
2023-05-24,0.9087590674699981
2023-05-25,0.9087590674699981
2023-05-26,0.9087590674699981
2023-05-27,0.9087590674699981
2023-05-28,0.9087590674699981
2023-05-29,0.9087590674699981
2023-05-30,0.9087590674699981
2023-05-31,0.9087590674699981
2023-06-01,0.9047746729699981
2023-06-02,0.9090708447699981
2023-06-03,0.9073262354699981
2023-06-04,0.9077656104699982
2023-06-05,0.8941759229699981
2023-06-06,0.9089627783699983
2023-06-07,0.9000349268699982
2023-06-08,0.9000514893699983
2023-06-09,0.9000514893699983
2023-06-10,0.9000514893699983
2023-06-11,0.9000514893699983
2023-06-12,0.9000514893699983
